,Rank,+/- Rank,,Player,Age,Points,Tourn Played,Code
1,1,,,Novak Djokovic,35,"7,135",16,d643
2,2,,,Carlos Alcaraz,19,"6,770",17,a0e2
3,3,+1,,Daniil Medvedev,27,"5,240",24,mm58
4,4,-1,,Casper Ruud,24,"5,210",25,rh16
5,5,,,Stefanos Tsitsipas,24,"5,195",21,te51
6,6,,,Andrey Rublev,25,"4,280",25,re44
7,7,,,Holger Rune,19,"4,070",26,r0dg
8,8,,,Jannik Sinner,21,"3,615",21,s0ag
9,9,,,Felix Auger-Aliassime,22,"3,405",24,ag37
10,10,,,Taylor Fritz,25,"3,290",23,fb98
11,11,+1,,Frances Tiafoe,25,"2,870",23,td51
12,12,-1,,Karen Khachanov,26,"2,855",23,ke29
13,13,,,Cameron Norrie,27,"2,725",23,n771
14,14,,,Rafael Nadal,36,"2,715",14,n409
15,15,,,Hubert Hurkacz,26,"2,660",23,hb71
16,16,,,Alexander Zverev,26,"2,140",20,z355
17,17,+1,,Tommy Paul,25,"2,070",24,pl56
18,18,+2,,Lorenzo Musetti,21,"2,065",27,m0ej
19,19,,,Alex de Minaur,24,"1,995",25,dh58
20,20,+1,,Borna Coric,26,"1,890",23,cg80
21,21,+1,,Matteo Berrettini,27,"1,832",20,bk40
22,22,-5,,Pablo Carreno Busta,31,"1,795",21,cd85
23,23,,,Marin Cilic,34,"1,645",16,c977
24,24,+2,,Daniel Evans,32,"1,560",27,e687
25,25,,,Roberto Bautista Agut,35,"1,475",27,bd06
26,26,-2,,Nick Kyrgios,27,"1,465",13,ke17
27,27,+1,,Denis Shapovalov,24,"1,425",24,su55
28,28,-1,,Sebastian Korda,22,"1,390",19,k0ah
29,29,,,Botic van de Zandschulp,27,"1,390",28,v812
30,30,+2,,Francisco Cerundolo,24,"1,235",25,c0au
